Time,ZW,ZZ,MaZ,MbZ,MaMb,MaMa,MbMb,RZ,MaR,MbR,RR,MaW,MbW,RW,generation,threshold,rM,total_females
1110,87.0812132816345,0,0,0,0,0,0,0,0,0,0,0.626204973690923,0.625921759904496,161.580142508652,38,0.9,7e-4,249.91348252388192
1140,86.9725874345933,0,0,0,0,0,0,0,0,0,0,0.551381406274223,0.551132531358999,161.849256221099,39,0.9,7e-4,249.92435759332554
1170,86.8766986520149,0,0,0,0,0,0,0,0,0,0,0.485693634248073,0.485474794421883,162.085916909313,40,0.9,7e-4,249.93378398999786
1200,86.7920466061124,0,0,0,0,0,0,0,0,0,0,0.427983157712223,0.427790619600515,162.294152197507,41,0.9,7e-4,249.94197258093214
1230,86.7173087974012,0,0,0,0,0,0,0,0,0,0,0.377247780424215,0.377078298699568,162.477464846463,42,0.9,7e-4,249.94909972298797
1260,86.6513193646526,0,0,0,0,0,0,0,0,0,0,0.332618511245588,0.332469259594399,162.638906557714,43,0.9,7e-4,249.95531369320656
1290,86.5930504024379,0,0,0,0,0,0,0,0,0,0,0.293340294109406,0.293208807076914,162.781140263331,44,0.9,7e-4,249.96073976695521
1320,86.5415955073313,0,0,0,0,0,0,0,0,0,0,0.258755850468257,0.258639974239985,162.906492926173,45,0.9,7e-4,249.96548425821254
1350,86.4961552960656,0,0,0,0,0,0,0,0,0,0,0.228292067323039,0.228189917891784,163.017000475855,46,0.9,7e-4,249.96963775713544
1380,86.4560246633524,0,0,0,0,0,0,0,0,0,0,0.201448479214718,0.201358406686158,163.114446192926,47,0.9,7e-4,249.97327774217928
1410,86.4205815715212,0,0,0,0,0,0,0,0,0,0,0.177787482206484,0.177708040234213,163.20039360746,48,0.9,7e-4,249.9764707014219
1440,86.3892771873653,0,0,0,0,0,0,0,0,0,0,0.156925988005214,0.156855907533334,163.276214783215,49,0.9,7e-4,249.97927386611886
1470,86.3616272030475,0,0,0,0,0,0,0,0,0,0,0.138528281540133,0.138466448180066,163.343114703051,50,0.9,7e-4,249.9817366358187
1500,86.3372041973457,0,0,0,0,0,0,0,0,0,0,0.122299888970142,0.122245323456781,163.402152346843,51,0.9,7e-4,249.9839017566156
1530,86.3156309109057,0,0,0,0,0,0,0,0,0,0,0.107982297828044,0.107934139095547,163.454258952691,52,0.9,7e-4,249.98580630052027
1560,86.296574324596,0,0,0,0,0,0,0,0,0,0,0.0953483988053179,0.0953058892996548,163.500253871007,53,0.9,7e-4,249.98748248370796
1590,86.279740443666,0,0,0,0,0,0,0,0,0,0,0.0841985410441373,0.0841610139519401,163.540858354745,54,0.9,7e-4,249.9889583534071
1620,86.2648697023769,0,0,0,0,0,0,0,0,0,0,0.0743571108931065,0.0743239790173693,163.576707574853,55,0.9,7e-4,249.99025836714037
1650,86.2517329142658,0,0,0,0,0,0,0,0,0,0,0.0656695587939314,0.0656403048489941,163.608361105327,56,0.9,7e-4,249.9914038832357
1680,86.2401277024003,0,0,0,0,0,0,0,0,0,0,0.0579998109915368,0.0579739791243868,163.636312085319,57,0.9,7e-4,249.9924135778352
1710,86.2298753520228,0,0,0,0,0,0,0,0,0,0,0.0512280126403047,0.051205201013942,163.660995235028,58,0.9,7e-4,249.99330380070504
1740,86.2208180350236,0,0,0,0,0,0,0,0,0,0,0.0452485570371415,0.0452284113356983,163.682793876454,59,0.9,7e-4,249.99408887985044
1770,86.2128163618441,0,0,0,0,0,0,0,0,0,0,0.0399683624806295,0.0399505702160043,163.702046088573,60,0.9,7e-4,249.99478138311375
1800,86.2057472218028,0,0,0,0,0,0,0,0,0,0,0.0353053638974056,0.0352896494140527,163.719050108349,61,0.9,7e-4,249.99539234346324
1830,86.1995018775559,0,0,0,0,0,0,0,0,0,0,0.0311871911007472,0.0311733111895372,163.734069073673,62,0.9,7e-4,249.99593145351918
1860,86.1939842835453,0,0,0,0,0,0,0,0,0,0,0.0275500095184814,0.0275377495626538,163.747335191287,63,0.9,7e-4,249.99640723391343
1890,86.1891096019081,0,0,0,0,0,0,0,0,0,0,0.0243375025810213,0.0243266731675562,163.759053401667,64,0.9,7e-4,249.99682717932367
1920,86.184802892506,0,0,0,0,0,0,0,0,0,0,0.0214999778028019,0.0214904117413512,163.769404603326,65,0.9,7e-4,249.99719788537615
1950,86.1809979565248,0,0,0,0,0,0,0,0,0,0,0.0189935810083705,0.0189851307074331,163.778548490893,66,0.9,7e-4,249.9975251591336
1980,86.1776363155395,0,0,0,0,0,0,0,0,0,0,0.016779605218275,0.0167721403747937,163.786626054298,67,0.9,7e-4,249.99781411543057
0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9,8e-4,250
30,156.426642484533,0,0,0,0,0,0,0,0,0,0,241.045065823911,241.045065823911,0.147360994610358,2,0.9,8e-4,638.6641351269653
