Time,ZW,ZZ,MZ,MM,MW,RW,RZ,MR,RR,generation,threshold,rM,releases,total_females
1680,249.932337759368,0,0,0,1.1162651233106199e-11,0.0676622406164907,0,0,0,57,0.1,0.001,1,249.99999999999565
1710,249.932337759375,0,0,0,6.41895597560864e-12,0.0676622406165013,0,0,0,58,0.1,0.001,1,249.99999999999793
1740,249.932337759378,0,0,0,3.69114782468521e-12,0.0676622406165075,0,0,0,59,0.1,0.001,1,249.99999999999818
1770,249.93233775938,0,0,0,2.12255268854466e-12,0.067662240616511,0,0,0,60,0.1,0.001,1,249.99999999999864
1800,249.932337759382,0,0,0,1.22054984780575e-12,0.0676622406165131,0,0,0,61,0.1,0.001,1,249.99999999999972
1830,249.932337759383,0,0,0,7.01863345498431e-13,0.0676622406165142,0,0,0,62,0.1,0.001,1,250.0000000000002
1860,249.932337759383,0,0,0,4.03598555716376e-13,0.0676622406165149,0,0,0,63,0.1,0.001,1,249.99999999999991
1890,249.932337759383,0,0,0,2.32084771517262e-13,0.0676622406165154,0,0,0,64,0.1,0.001,1,249.99999999999974
1920,249.932337759384,0,0,0,1.33457715364252e-13,0.0676622406165156,0,0,0,65,0.1,0.001,1,250.00000000000065
1950,249.932337759384,0,0,0,7.67433454328174e-14,0.0676622406165157,0,0,0,66,0.1,0.001,1,250.0000000000006
1980,249.932337759384,0,0,0,4.41303903048704e-14,0.0676622406165158,0,0,0,67,0.1,0.001,1,250.00000000000057
0,250,0,0,0,0,0,0,0,0,1,0.1,0.001,10,250
30,250.000322400697,0,0,0,0,0,0,0,0,2,0.1,0.001,10,250.000322400697
60,250.000090984018,0,0,0,0,0,0,0,0,3,0.1,0.001,10,250.000090984018
90,250.000018876751,0,0,0,0,0,0,0,0,4,0.1,0.001,10,250.000018876751
120,244.224036600234,0,0,0,12.061383530384,0.0117536311931724,0,0,0,5,0.1,0.001,10,256.29717376181117
150,229.85118017896,0,0,0,24.9870657741096,0.0483838071657244,0,0,0,6,0.1,0.001,10,254.8866297602353
180,218.040716407565,0,0,0,33.6113506743387,0.097743950402654,0,0,0,7,0.1,0.001,10,251.74981103230635
210,208.728173120219,0,0,0,39.8497531577932,0.163647633200518,0,0,0,8,0.1,0.001,10,248.74157391121273
240,201.058442589793,0,0,0,44.7809261567173,0.247891176003762,0,0,0,9,0.1,0.001,10,246.08725992251408
270,194.441847868719,0,0,0,48.9048619149508,0.35421439240277,0,0,0,10,0.1,0.001,10,243.7009241760726
300,188.5089759088,0,0,0,52.4928706202541,0.487744322070908,0,0,0,11,0.1,0.001,10,241.48959085112503
330,183.01713731513,0,0,0,55.7115709327351,0.655428024796554,0,0,0,12,0.1,0.001,10,239.38413627266164
360,177.794348309591,0,0,0,58.6718042047589,0.866527904657631,0,0,0,13,0.1,0.001,10,237.33268041900752
390,172.708395780439,0,0,0,61.451663247684,1.13337432602556,0,0,0,14,0.1,0.001,10,235.29343335414856
420,173.733653101989,0,0,0,54.3321779628601,1.4196381361966,0,0,0,15,0.1,0.001,10,229.4854692010457
450,184.275523333328,0,0,0,45.6526839130353,1.82336245602317,0,0,0,16,0.1,0.001,10,231.7515697023865
480,196.639392643973,0,0,0,36.8810703190146,2.2404700944058,0,0,0,17,0.1,0.001,10,235.7609330573934
510,208.590576129742,0,0,0,28.369675172148,2.63699010384121,0,0,0,18,0.1,0.001,10,239.5972414057312
540,219.063732362431,0,0,0,20.6909001587463,2.97863219727089,0,0,0,19,0.1,0.001,10,242.7332647184482
570,227.52265843774,0,0,0,14.3321700549413,3.24950612274185,0,0,0,20,0.1,0.001,10,245.10433461542314
600,233.869766331824,0,0,0,9.48299744533381,3.44849910979688,0,0,0,21,0.1,0.001,10,246.80126288695467
630,238.335085973452,0,0,0,6.04332634753635,3.58566010908638,0,0,0,22,0.1,0.001,10,247.96407243007474
660,241.313999815878,0,0,0,3.74293623425004,3.67555157723639,0,0,0,23,0.1,0.001,10,248.73248762736443
690,243.22104361678,0,0,0,2.27158127675527,3.73229354766494,0,0,0,24,0.1,0.001,10,249.22491844120023
720,244.405508910499,0,0,0,1.35988904692708,3.76717138572704,0,0,0,25,0.1,0.001,10,249.53256934315314
