Time,ZW,ZZ,MZ,MM,MW,RW,RZ,MR,RR,generation,threshold,rM,total_females
1080,249.999990556571,0,0,0,6.91820650549477e-6,0,0,0,0,37,0.1,0,249.9999974747775
1110,249.999994567397,0,0,0,3.97989636012321e-6,0,0,0,0,38,0.1,0,249.99999854729336
1140,249.999996874739,0,0,0,2.28954924750951e-6,0,0,0,0,39,0.1,0,249.99999916428825
1170,249.999998202104,0,0,0,1.31712868374206e-6,0,0,0,0,40,0.1,0,249.9999995192327
1200,249.999998965709,0,0,0,7.57715935528539e-7,0,0,0,0,41,0.1,0,249.99999972342493
1230,249.999999404995,0,0,0,4.35897754201407e-7,0,0,0,0,42,0.1,0,249.99999984089277
1260,249.999999657706,0,0,0,2.50762644021375e-7,0,0,0,0,43,0.1,0,249.99999990846865
1290,249.999999803086,0,0,0,1.44258379162986e-7,0,0,0,0,44,0.1,0,249.99999994734438
1320,249.999999886719,0,0,0,8.29887562172585e-8,0,0,0,0,45,0.1,0,249.99999996970774
1350,249.999999934833,0,0,0,4.77416542010604e-8,0,0,0,0,46,0.1,0,249.99999998257465
1380,249.999999962511,0,0,0,2.7464751236385e-8,0,0,0,0,47,0.1,0,249.99999998997575
1410,249.999999978433,0,0,0,1.57998832030997e-8,0,0,0,0,48,0.1,0,249.9999999942329
1440,249.999999987593,0,0,0,9.089334436322161e-9,0,0,0,0,49,0.1,0,249.99999999668233
1470,249.999999992863,0,0,0,5.2288994435534e-9,0,0,0,0,50,0.1,0,249.9999999980919
1500,249.999999995894,0,0,0,3.00807386735732e-9,0,0,0,0,51,0.1,0,249.99999999890207
1530,249.999999997638,0,0,0,1.7304804747012802e-9,0,0,0,0,52,0.1,0,249.9999999993685
1560,249.999999998641,0,0,0,9.95508356950317e-10,0,0,0,0,53,0.1,0,249.9999999996365
1590,249.999999999218,0,0,0,5.72694637840725e-10,0,0,0,0,54,0.1,0,249.9999999997907
1620,249.999999999551,0,0,0,3.2945896025891703e-10,0,0,0,0,55,0.1,0,249.99999999988046
1650,249.999999999741,0,0,0,1.89530684107381e-10,0,0,0,0,56,0.1,0,249.99999999993054
1680,249.999999999851,0,0,0,1.09032943556682e-10,0,0,0,0,57,0.1,0,249.99999999996004
1710,249.999999999914,0,0,0,6.272431736640659e-11,0,0,0,0,58,0.1,0,249.99999999997672
