Time,ZW,ZZ,MZ,MM,MW,RW,RZ,MR,RR,generation,threshold,rM,releases,total_females
360,184.088504682482,0,0,0,45.2277390385764,2.29774549564404,0,0,0,13,0.1,0.001,10,231.61398921670246
390,196.525433159218,0,0,0,36.5443783664206,2.80867678536733,0,0,0,14,0.1,0.001,10,235.87848831100595
420,208.355754391932,0,0,0,28.0876332004322,3.29009047848883,0,0,0,15,0.1,0.001,10,239.73347807085304
450,218.659260759273,0,0,0,20.4776864421558,3.70405952521705,0,0,0,16,0.1,0.001,10,242.84100672664584
480,226.956776397087,0,0,0,14.1901097463999,4.03177368253235,0,0,0,17,0.1,0.001,10,245.17865982601924
510,233.174618579756,0,0,0,9.40102982067359,4.27250292432615,0,0,0,18,0.1,0.001,10,246.84815132475572
540,237.548944840832,0,0,0,6.00381790946295,4.43858636952005,0,0,0,19,0.1,0.001,10,247.991349119815
570,240.470412146365,0,0,0,3.72896768695128,4.54763932549334,0,0,0,20,0.1,0.001,10,248.74701915880962
600,242.344521848038,0,0,0,2.27066248528003,4.61665899650951,0,0,0,21,0.1,0.001,10,249.23184332982754
630,243.511764503246,0,0,0,1.36434677581694,4.65921974362599,0,0,0,22,0.1,0.001,10,249.53533102268895
660,244.223898927457,0,0,0,0.812750547391605,4.68500591685481,0,0,0,23,0.1,0.001,10,249.7216553917034
690,244.65239297495,0,0,0,0.481559710015701,4.70044958545015,0,0,0,24,0.1,0.001,10,249.83440227041586
720,244.907909590179,0,0,0,0.284388181173289,4.70963125575941,0,0,0,25,0.1,0.001,10,249.9019290271117
750,245.059412477264,0,0,0,0.167613950707958,4.71506506203584,0,0,0,26,0.1,0.001,10,249.9420914900078
780,245.148926269351,0,0,0,0.0986719710365539,4.71827183379925,0,0,0,27,0.1,0.001,10,249.9658700741868
810,245.201700680385,0,0,0,0.0580459523903138,4.72016110575189,0,0,0,28,0.1,0.001,10,249.9799077385272
840,245.232774323161,0,0,0,0.0341326121407626,4.72127303865342,0,0,0,29,0.1,0.001,10,249.9881799739552
