"Time","WW","WM","WR","MM","MR","RR"
1239,2.57300992861641e-18,20.976265273296,0,228.943949562009,0,0
1240,2.3751125973725e-18,20.9474010817148,0,228.973049373327,0,0
1241,2.19239909984685e-18,20.9186158392264,0,229.002069195303,0,0
1242,2.02370737997024e-18,20.8899092234454,0,229.031009356433,0,0
1243,1.8679640841031e-18,20.8612809137346,0,229.059870183417,0,0
1244,1.72417780856538e-18,20.8327305911934,0,229.088652001174,0,0
1245,1.59143285974607e-18,20.8042579386458,0,229.117355132858,0,0
1246,1.46888348799723e-18,20.7758626406287,0,229.145979899863,0,0
1247,1.35574855944403e-18,20.7475443833805,0,229.174526621838,0,0
1248,1.2513066325498e-18,20.71930285483,0,229.2029956167,0,0
1249,1.15489140877855e-18,20.6911377445844,0,229.231387200647,0,0
1250,1.06588752901228e-18,20.6630487439187,0,229.259701688164,0,0
1251,9.83726689521457e-19,20.635035545764,0,229.28793939204,0,0
1252,9.0788405326652e-19,20.607097844697,0,229.316100623376,0,0
1253,8.37874934138796e-19,20.5792353369283,0,229.344185691598,0,0
1254,7.73251733441848e-19,20.5514477202923,0,229.372194904468,0,0
1255,7.13601109479372e-19,20.5237346942358,0,229.400128568097,0,0
1256,6.58541362562792e-19,20.4960959598074,0,229.427986986952,0,0
1257,6.07720019089774e-19,20.4685312196472,0,229.455770463869,0,0
1258,5.60811599581906e-19,20.4410401779758,0,229.483479300065,0,0
1259,5.17515556713606e-19,20.413622540584,0,229.511113795148,0,0
1260,4.77554370421756e-19,20.3862780148229,0,229.538674247128,0,0
1261,4.40671788163236e-19,20.3590063095926,0,229.566160952424,0,0
1262,4.06631199291364e-19,20.3318071353327,0,229.593574205881,0,0
1263,3.75214133357855e-19,20.3046802040123,0,229.620914300776,0,0
1264,3.46218872919371e-19,20.2776252291192,0,229.648181528832,0,0
1265,3.19459172141874e-19,20.2506419256506,0,229.675376180221,0,0
1266,2.94763073156114e-19,20.2237300101029,0,229.702498543583,0,0
1267,2.71971812727861e-19,20.1968892004619,0,229.729548906031,0,0
1268,2.50938812370557e-19,20.1701192161932,0,229.756527553162,0,0
